timestep,depth,Theta,lat,lon
0,-0.5,26.47888,25.601171,-79.479164
1,-0.6504278,26.479834,25.601171,-79.479164
2,-0.8008557,26.480785,25.601171,-79.479164
3,-0.9512836,26.481739,25.601171,-79.479164
4,-1.1017114,26.48269,25.601171,-79.479164
5,-1.2521392,26.483644,25.601171,-79.479164
6,-1.4025671,26.484596,25.601171,-79.479164
7,-1.552995,26.48555,25.601171,-79.479164
8,-1.7034228,26.48605,25.601171,-79.479164
9,-1.8538506,26.486494,25.601171,-79.479164
10,-2.0042784,26.486938,25.601171,-79.479164
11,-2.1547065,26.487381,25.601171,-79.479164
12,-2.3051343,26.487825,25.601171,-79.479164
13,-2.455562,26.48827,25.601171,-79.479164
14,-2.60599,26.488712,25.601171,-79.479164
15,-2.7564178,26.489157,25.601171,-79.479164
16,-2.9068456,26.48944,25.601171,-79.479164
17,-3.0572734,26.489677,25.601171,-79.479164
18,-3.2077012,26.489914,25.601171,-79.479164
19,-3.358129,26.490152,25.601171,-79.479164
20,-3.5085568,26.490389,25.601171,-79.479164
21,-3.658985,26.490625,25.601171,-79.479164
22,-3.8094127,26.490864,25.601171,-79.479164
23,-3.9598405,26.4911,25.601171,-79.479164
24,-4.1102686,26.491337,25.601171,-79.479164
25,-4.2606964,26.49147,25.601171,-79.479164
26,-4.411124,26.491499,25.601171,-79.479164
27,-4.561552,26.49153,25.601171,-79.479164
28,-4.71198,26.49156,25.601171,-79.479164
29,-4.8624077,26.491589,25.601171,-79.479164
30,-5.0128355,26.49162,25.601171,-79.479164
31,-5.1632633,26.491648,25.601171,-79.479164
32,-5.313691,26.491678,25.601171,-79.479164
33,-5.464119,26.491707,25.601171,-79.479164
34,-5.614547,26.491737,25.601171,-79.479164
35,-5.7649746,26.491766,25.601171,-79.479164
36,-5.9154024,26.491308,25.601171,-79.479164
37,-6.06583,26.490797,25.601171,-79.479164
38,-6.216258,26.490284,25.601171,-79.479164
39,-6.366686,26.489773,25.601171,-79.479164
40,-6.5171137,26.489262,25.601171,-79.479164
41,-6.667542,26.488749,25.601171,-79.479164
42,-6.81797,26.488237,25.601171,-79.479164
43,-6.9683976,26.487724,25.601171,-79.479164
44,-7.1188254,26.487213,25.601171,-79.479164
45,-7.2692533,26.4867,25.601171,-79.479164
46,-7.419681,26.486189,25.601171,-79.479164
47,-7.570109,26.485676,25.601171,-79.479164
48,-7.7205367,26.484264,25.601171,-79.479164
49,-7.8709645,26.482676,25.601171,-79.479164
50,-8.021393,26.481085,25.601171,-79.479164
51,-8.17182,26.479494,25.601171,-79.479164
52,-8.322248,26.477905,25.601171,-79.479164
53,-8.472675,26.476315,25.601171,-79.479164
54,-8.623104,26.474724,25.601171,-79.479164
55,-8.773532,26.473135,25.601171,-79.479164
56,-8.92396,26.471544,25.601171,-79.479164
57,-9.074388,26.469954,25.601171,-79.479164
58,-9.224815,26.468365,25.601171,-79.479164
59,-9.375243,26.466774,25.601171,-79.479164
60,-9.525671,26.465183,25.601171,-79.479164
61,-9.676099,26.463676,25.601171,-79.479164
62,-9.826527,26.462862,25.601171,-79.479164
63,-9.976954,26.462046,25.601171,-79.479164
64,-10.127382,26.46123,25.601171,-79.479164
65,-10.27781,26.460415,25.601171,-79.479164
66,-10.428238,26.459599,25.601171,-79.479164
67,-10.578666,26.458782,25.601171,-79.479164
68,-10.729094,26.457968,25.601171,-79.479164
69,-10.879521,26.457151,25.601171,-79.479164
70,-11.029949,26.456335,25.601171,-79.479164
71,-11.180377,26.45552,25.601171,-79.479164
72,-11.330805,26.454704,25.601171,-79.479164
73,-11.481233,26.453888,25.601171,-79.479164
74,-11.63166,26.453074,25.601171,-79.479164
75,-11.782088,26.452257,25.601171,-79.479164
76,-11.932516,26.45144,25.601171,-79.479164
77,-12.082944,26.450056,25.601171,-79.479164
78,-12.233372,26.448067,25.601171,-79.479164
79,-12.3838,26.446075,25.601171,-79.479164
80,-12.534227,26.444086,25.601171,-79.479164
81,-12.684656,26.442097,25.601171,-79.479164
82,-12.835084,26.440105,25.601171,-79.479164
83,-12.985512,26.438116,25.601171,-79.479164
84,-13.13594,26.436127,25.601171,-79.479164
85,-13.286367,26.434135,25.601171,-79.479164
86,-13.436795,26.432146,25.601171,-79.479164
87,-13.587223,26.430155,25.601171,-79.479164
88,-13.737651,26.428165,25.601171,-79.479164
89,-13.888079,26.426176,25.601171,-79.479164
90,-14.0385065,26.424185,25.601171,-79.479164
91,-14.188934,26.422195,25.601171,-79.479164
92,-14.339362,26.420206,25.601171,-79.479164
93,-14.48979,26.418215,25.601171,-79.479164
94,-14.640218,26.416225,25.601171,-79.479164
95,-14.790646,26.41369,25.601171,-79.479164
96,-14.941073,26.41096,25.601171,-79.479164
97,-15.091501,26.408228,25.601171,-79.479164
98,-15.241929,26.405497,25.601171,-79.479164
99,-15.392357,26.402765,25.601171,-79.479164
100,-15.542785,26.400034,25.601171,-79.479164
101,-15.6932125,26.397303,25.601171,-79.479164
102,-15.84364,26.394571,25.601171,-79.479164
103,-15.994068,26.39184,25.601171,-79.479164
104,-16.144497,26.389107,25.601171,-79.479164
105,-16.294924,26.386375,25.601171,-79.479164
106,-16.44535,26.383644,25.601171,-79.479164
107,-16.59578,26.380913,25.601171,-79.479164
108,-16.746208,26.378181,25.601171,-79.479164
109,-16.896635,26.37545,25.601171,-79.479164
110,-17.047064,26.372719,25.601171,-79.479164
111,-17.19749,26.369987,25.601171,-79.479164
112,-17.34792,26.367256,25.601171,-79.479164
113,-17.498346,26.364525,25.601171,-79.479164
114,-17.648775,26.361794,25.601171,-79.479164
115,-17.799202,26.358723,25.601171,-79.479164
116,-17.94963,26.355446,25.601171,-79.479164
117,-18.100058,26.35217,25.601171,-79.479164
118,-18.250486,26.348896,25.601171,-79.479164
119,-18.400913,26.34562,25.601171,-79.479164
120,-18.551342,26.342344,25.601171,-79.479164
121,-18.701769,26.33907,25.601171,-79.479164
122,-18.852198,26.335793,25.601171,-79.479164
123,-19.002625,26.332518,25.601171,-79.479164
124,-19.153053,26.32924,25.601171,-79.479164
125,-19.30348,26.325966,25.601171,-79.479164
126,-19.453909,26.322691,25.601171,-79.479164
127,-19.604336,26.319414,25.601171,-79.479164
128,-19.754765,26.31614,25.601171,-79.479164
129,-19.905193,26.312864,25.601171,-79.479164
130,-20.05562,26.309587,25.601171,-79.479164
131,-20.206049,26.306313,25.601171,-79.479164
132,-20.356476,26.303038,25.601171,-79.479164
133,-20.506905,26.29976,25.601171,-79.479164
134,-20.657331,26.296486,25.601171,-79.479164
135,-20.80776,26.293211,25.601171,-79.479164
136,-20.958187,26.289934,25.601171,-79.479164
137,-21.108616,26.28666,25.601171,-79.479164
138,-21.259043,26.28344,25.601171,-79.479164
139,-21.409472,26.280226,25.601171,-79.479164
140,-21.559898,26.277012,25.601171,-79.479164
141,-21.710327,26.273798,25.601171,-79.479164
142,-21.860754,26.270584,25.601171,-79.479164
143,-22.011183,26.26737,25.601171,-79.479164
144,-22.16161,26.264156,25.601171,-79.479164
145,-22.312038,26.260942,25.601171,-79.479164
146,-22.462465,26.257729,25.601171,-79.479164
147,-22.612894,26.254515,25.601171,-79.479164
148,-22.76332,26.2513,25.601171,-79.479164
149,-22.91375,26.248087,25.601171,-79.479164
150,-23.064177,26.244873,25.601171,-79.479164
151,-23.214605,26.24166,25.601171,-79.479164
152,-23.365032,26.238445,25.601171,-79.479164
153,-23.515461,26.235231,25.601171,-79.479164
154,-23.665888,26.232018,25.601171,-79.479164
155,-23.816317,26.228804,25.601171,-79.479164
156,-23.966743,26.225592,25.601171,-79.479164
157,-24.117172,26.222378,25.601171,-79.479164
158,-24.2676,26.219164,25.601171,-79.479164
159,-24.418028,26.21595,25.601171,-79.479164
160,-24.568455,26.212736,25.601171,-79.479164
161,-24.718884,26.209522,25.601171,-79.479164
162,-24.869312,26.206308,25.601171,-79.479164
163,-25.01974,26.203123,25.601171,-79.479164
164,-25.170168,26.200058,25.601171,-79.479164
165,-25.320595,26.196995,25.601171,-79.479164
